,date,fft_power
197,2016-02-28,0.00303018
198,2016-02-28,0.00291598
199,2016-02-28,0.00131681
200,2007-03-17,0.23176471
201,2007-03-17,0.22374262
202,2007-03-17,0.09302258
203,2007-03-17,0.04848235
204,2007-03-17,0.04453235
205,2007-03-17,0.03606644
206,2007-03-17,0.03520509
207,2007-03-17,0.03393656
208,2007-03-17,0.0295588
209,2007-03-17,0.02845802
210,2016-05-10,0.00750719
211,2016-05-10,0.00706977
212,2016-05-10,0.00609572
213,2016-05-10,0.00577054
214,2016-05-10,0.00559315
215,2016-05-10,0.00263296
216,2016-05-10,0.00222573
217,2016-05-10,0.00107383
218,2016-05-10,0.00097232
219,2016-05-10,0.00080472
220,2009-08-23,0.08968571
221,2009-08-23,0.06945231
222,2009-08-23,0.02095235
223,2009-08-23,0.01266524
224,2009-08-23,0.0112889
225,2009-08-23,0.00856979
226,2009-08-23,0.00840849
227,2009-08-23,0.0082872
228,2009-08-23,0.00669131
229,2009-08-23,0.00642847
230,2010-06-24,0.01991339
231,2010-06-24,0.01957078
232,2010-06-24,0.01139293
233,2010-06-24,0.00521128
234,2010-06-24,0.00487633
235,2010-06-24,0.00445617
236,2010-06-24,0.00408587
237,2010-06-24,0.0034086
238,2010-06-24,0.00317411
239,2010-06-24,0.00304138
240,2015-11-28,0.00734846
241,2015-11-28,0.00353222
242,2015-11-28,0.00219438
243,2015-11-28,0.00121179
244,2015-11-28,0.00060869
245,2015-11-28,0.0005256
246,2015-11-28,0.000455
247,2015-11-28,0.00043945
248,2015-11-28,0.00040284
249,2015-11-28,0.0003622
250,2000-09-23,0.04038257
251,2000-09-23,0.02232851
252,2000-09-23,0.01789711
253,2000-09-23,0.01773337
254,2000-09-23,0.0120927
255,2000-09-23,0.0105942
256,2000-09-23,0.00783711
257,2000-09-23,0.00637264
258,2000-09-23,0.00598089
259,2000-09-23,0.00580227
260,2007-05-29,0.10267124
261,2007-05-29,0.0787313
262,2007-05-29,0.03498897
263,2007-05-29,0.03341021
264,2007-05-29,0.01423094
265,2007-05-29,0.01022167
266,2007-05-29,0.00928889
267,2007-05-29,0.00754482
268,2007-05-29,0.00639496
269,2007-05-29,0.00594726
270,2010-09-30,0.04395782
271,2010-09-30,0.03865396
272,2010-09-30,0.03014027
